"","Law ID","State","Effect","Law Class","Law Class Subcategory","Definition","Type of Change","Handguns or Longguns","Effective Date","Content","Supersession Date"
"72","AL1024","Alabama","Restrictive","Prohibited Possessor","Mental Health : Adjudicated As Mentally Incompetent//Incapacitated/Disabled","Prohibits the possession of firearms for those adjucated as being mentally incompetent, incapacitated, or disabled","Implement","Handgun And/Or Long Gun",2015-09-01,"(a) No person who has been convicted in this state or elsewhere of committing or attempting to commit a crime of violence, misdemeanor offense of domestic violence, violent offense as listed in Section 12-25-32(15), anyone who is subject to a valid protection order for domestic abuse, or anyone of unsound mind shall own a firearm or have one in his or her possession or under his or her control.                                                       (o) The term “unsound mind” as used in this section includes any person who is subject to any of the findings listed below, and who has not had his or her rights to possess a firearm reinstated by operation of law or legal process:

(1) Found by a court, board, commission, or other lawful authority that, as a result of marked subnormal intelligence, mental illness, incompetency, condition, or disease, is a danger to himself or herself or others or lacks the mental capacity to contract or manage his or her own affairs.

",NA
"73","AL1025","Alabama","Restrictive","Prohibited Possessor","Mental Health : Committed To Mh Facility","Prohibits the possession of firearms for those who have been involuntarily committed to mental health institutions","Implement","Handgun And/Or Long Gun",2015-09-01,"(a) No person who has been convicted in this state or elsewhere of committing or attempting to commit a crime of violence, misdemeanor offense of domestic violence, violent offense as listed in Section 12-25-32(15), anyone who is subject to a valid protection order for domestic abuse, or anyone of unsound mind shall own a firearm or have one in his or her possession or under his or her control.                                                       (o) The term “unsound mind” as used in this section includes any person who is subject to any of the findings listed below, and who has not had his or her rights to possess a firearm reinstated by operation of law or legal process:



(2) Found to be insane, not guilty by reason of mental disease or defect, found mentally incompetent to stand trial, or found not guilty by a reason of lack of mental responsibility by a court in a criminal case, to include state, federal and military courts.

(3) Involuntarily committed for a final commitment for inpatient treatment to the Department of Mental Health or a Veterans' Administration hospital by a court after a hearing.",NA
"74","AL1026","Alabama",NA,"Safety Training Required",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun",NA,"No law requiring safety training for handguns",NA
"75","AL1027","Alabama",NA,"Prohibited Possessor","Erpo","Allows law enforcement officials to petition a court to remove firearms from a person who is known to be a risk to themselves or others",NA,"Handgun And/Or Long Gun",NA,"No law prohibiting possession of firearms by individuals subject to ERPO",NA
"76","AL1028","Alabama",NA,"Prohibited Possessor","Dvro","Prohibits individuals with a domestic violence restraining order from owning, possessing, or purchasing firearms",NA,"Handgun And/Or Long Gun",NA,"No law prohibiting individuals subject to DVRO from possessing firearms","2015-06-04"
"77","AL1029","Alabama",NA,"Safety Training Required",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law requiring safety training for long guns",NA
"78","AL1030","Alabama",NA,"Minimum Age","Youth Possession","Establishes a minimum age for possession of a gun",NA,"Long Gun",NA,"No law imposing minimum age for youth possession of long guns",NA
"79","AL1031","Alabama","Restrictive","Background Checks","Sales From Dealer : Federal","Requires licensed realers to conduct a check pursuant to 1994 federal laws and 1994 Background Check System","Implement","Handgun",1994-02-28,"Beginning on the date that is 90 days after the date of enactment of this subsection and ending on the day before the date that is 60 months after such date of enactment, it shall be unlawful for any licensed importer, licensed manufacturer, or licensed dealer to sell, deliver, or transfer a handgun to an individual who is not licensed under section 923, unless— 

(A) after the most recent proposal of such transfer by the transferee— 

(i) the transferor has— 

(I) received from the transferee a statement of the transferee containing the information described in paragraph (3); 

(II) verified the identity of the transferee by examining the identification document presented; 

(III) within 1 day after the transferee furnishes the statement, provided notice of the contents of the statement to the chief law enforcement officer of the place of residence of the transferee; and 

(IV) within 1 day after the transferee furnishes the statement, transmitted a copy of the statement to the chief law enforcement officer of the place of residence of the transferee; and 

(ii) (I) 5 business days (meaning days on which State offices are open) have elapsed from the date the transferor furnished notice of the contents of the statement to the chief law enforcement officer, during which period the transferor has not received information from the chief law enforcement officer that receipt or possession of the handgun by the transferee would be in violation of Federal, State, or local law; or 

(II) the transferor has received notice from the chief law enforcement officer that the officer has no information indicating that receipt or possession of the handgun by the transferee would violate Federal, State, or local law.",NA
"80","AL1032","Alabama","Restrictive","Background Checks","Sales From Dealer : Federal","Requires licensed realers to conduct a check pursuant to 1994 federal laws and 1994 Background Check System","Implement","Long Gun",1998-11-30,"Beginning on the date that is 30 days after the Attorney General notifies licensees under section 103(d) of the Brady Handgun Violence Prevention Act that the national instant criminal background check system is established, a licensed importer, licensed manufacturer, or licensed dealer shall not transfer a firearm to any other person who is not licensed under this chapter, unless—

(A) before the completion of the transfer, the licensee contacts the national instant criminal background check system established under section 103 of that Act;

(B) (i) the system provides the licensee with a unique identification number; or

(ii) 3 business days (meaning a day on which State offices are open) have elapsed since the licensee contacted the system, and the system has not notified the licensee that the receipt of a firearm by such other person would violate subsection (g) or (n) of this section; and

(C) the transferor has verified the identity of the transferee by examining a valid identification document (as defined in section 1028(d) of this title) of the transferee containing a photograph of the transferee.",NA
"81","AL1033","Alabama",NA,"Firearm Sales Restrictions",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law imposing any firearm ban",NA
"82","AL1034","Alabama",NA,"Open Carry","Not Restricted","Does not restrict the open carrying of guns",NA,"Long Gun",NA,"No law restricting open carry for long guns",NA
"83","AL1035","Alabama",NA,"Permit To Purchase",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun",NA,"No law requiring permit for the purchase of a handgun",NA
"84","AL1036","Alabama",NA,"Permit To Purchase",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law requiring permit for the purchase of a long gun",NA
"85","AL1037","Alabama","Permissive","Castle Doctrine",NA,"Allows individuals to use deadly force in defense of themselves, others, and their homes without the duty to retreat","Implement","Handgun And/Or Long Gun",1900-01-01,"Common law castle doctrine. Common law castle doctrine was solidified in the United States throughout the 19th century.  “By the beginning of the twentieth century it was well accepted in the United States that a man attacked in his own home had no duty to retreat before using deadly force, so long as he reasonably believed it necessary to save his own life.” Indeed, by the 1920s, sources note that the castle doctrine expanded to cover situations where the individual had a reasonable fear of imminent death or severe bodily harm. (Catalfamo 509).","1978-05-16"
"86","AL1038","Alabama",NA,"Waiting Period",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Long Gun",NA,"No law imposing waiting period for purchase of long guns",NA
"87","AL1039","Alabama",NA,"Firearm Removal At Scene Of Domestic Violence",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law concerning removal of firearms at scene of domestic violence incident",NA
"88","AL1040","Alabama",NA,"Firearms In College/University",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"No law concerning firearms on college or university campus",NA
"89","AL1041","Alabama",NA,"Local Laws Preempted By State",NA,"Requires prospective purchasers to first obtain a license or permit from Law Enforcement",NA,"Handgun And/Or Long Gun",NA,"State law does not preempt local law","2013-08-01"
"90","AL1042","Alabama","Permissive","Local Laws Preempted By State","Comprehensive","Prohibits local laws for a specific class of laws","Implement","Handgun And/Or Long Gun",2013-08-01,"(a) The purpose of this section is to establish within the Legislature complete control over regulation and policy pertaining to firearms, ammunition, and firearm accessories in order to ensure that such regulation and policy is applied uniformly throughout this state to each person subject to the state's jurisdiction and to ensure protection of the right to keep and bear arms recognized by the Constitutions of the State of Alabama and the United States. This section is to be liberally construed to accomplish its purpose. (e) Any existing orders, ordinances, or rules promulgated or enforced contrary to the terms of this section are null and void and any future order, ordinance, or rules shall comply with this section.",NA
"91","AL1043","Alabama",NA,"Prohibited Possessor","Convicted Of Crime : Removal","Requires police to remove firearms from individuals convicted of a firearm-prohibiting crime",NA,"Handgun And/Or Long Gun",NA,"No law requiring removal of firearms from individuals convicted of domestic violence or firearm-prohibiting crime",NA
